State,County,Date,Covid_Cummulative_Numbers
California,Marin,2020-05-31,248
California,Mariposa,2020-05-31,13
California,Mendocino,2020-05-31,18
California,Merced,2020-05-31,158
California,Modoc,2020-05-31,0
California,Mono,2020-05-31,11
California,Monterey,2020-05-31,324
California,Napa,2020-05-31,45
California,Nevada,2020-05-31,0
California,Orange,2020-05-31,3868
California,Out of CA,2020-05-31,0
California,Placer,2020-05-31,68
California,Plumas,2020-05-31,0
California,Riverside,2020-05-31,3455
California,Sacramento,2020-05-31,323
California,San Benito,2020-05-31,37
California,San Bernardino,2020-05-31,3188
California,San Diego,2020-05-31,4049
California,San Francisco,2020-05-31,1089
California,San Joaquin,2020-05-31,315
California,San Luis Obispo,2020-05-31,85
California,San Mateo,2020-05-31,927
California,Santa Barbara,2020-05-31,1164
California,Santa Clara,2020-05-31,613
California,Santa Cruz,2020-05-31,82
California,Shasta,2020-05-31,8
California,Sierra,2020-05-31,1
California,Siskiyou,2020-05-31,2
California,Solano,2020-05-31,254
California,Sonoma,2020-05-31,321
California,Stanislaus,2020-05-31,405
California,Sutter,2020-05-31,16
California,Tehama,2020-05-31,3
California,Trinity,2020-05-31,1
California,Tulare,2020-05-31,1204
California,Tuolumne,2020-05-31,0
California,Unassigned,2020-05-31,0
California,Ventura,2020-05-31,543
California,Yolo,2020-05-31,47
California,Yuba,2020-05-31,12
Florida,Alachua,2020-05-31,113
Florida,Baker,2020-05-31,9
Florida,Bay,2020-05-31,26
Florida,Bradford,2020-05-31,5
Florida,Brevard,2020-05-31,137
Florida,Broward,2020-05-31,2170
Florida,Calhoun,2020-05-31,55
Florida,Charlotte,2020-05-31,222
Florida,Citrus,2020-05-31,22
Florida,Clay,2020-05-31,109
Florida,Collier,2020-05-31,943
Florida,Columbia,2020-05-31,86
Florida,DeSoto,2020-05-31,153
Florida,Dixie,2020-05-31,44
Florida,Duval,2020-05-31,632
Florida,Escambia,2020-05-31,309
Florida,Flagler,2020-05-31,56
Florida,Franklin,2020-05-31,0
Florida,Gadsden,2020-05-31,178
Florida,Gilchrist,2020-05-31,7
Florida,Glades,2020-05-31,24
Florida,Gulf,2020-05-31,0
Florida,Hamilton,2020-05-31,227
Florida,Hardee,2020-05-31,81
Florida,Hendry,2020-05-31,332
Florida,Hernando,2020-05-31,25
Florida,Highlands,2020-05-31,48
Florida,Hillsborough,2020-05-31,1077
Florida,Holmes,2020-05-31,9
Florida,Indian River,2020-05-31,40
Florida,Jackson,2020-05-31,237
Florida,Jefferson,2020-05-31,1
Florida,Lafayette,2020-05-31,7
Florida,Lake,2020-05-31,74
Florida,Lee,2020-05-31,887
Florida,Leon,2020-05-31,185
Florida,Levy,2020-05-31,13
Florida,Liberty,2020-05-31,210
Florida,Madison,2020-05-31,14
Florida,Manatee,2020-05-31,465
Florida,Marion,2020-05-31,73
