City,Date,No_of_bedrooms,AvgSale_Price
Los-Angeles,4/30/2012,1,228696
Los-Angeles,5/31/2012,1,229485
Los-Angeles,6/30/2012,1,230526
Los-Angeles,7/31/2012,1,232180
Los-Angeles,8/31/2012,1,233766
Los-Angeles,9/30/2012,1,235914
Los-Angeles,10/31/2012,1,239199
Los-Angeles,11/30/2012,1,242258
Los-Angeles,12/31/2012,1,246284
Los-Angeles,1/31/2013,1,250107
Los-Angeles,2/28/2013,1,255675
Los-Angeles,3/31/2013,1,261804
Los-Angeles,4/30/2013,1,268729
Los-Angeles,5/31/2013,1,274918
Los-Angeles,6/30/2013,1,281072
Los-Angeles,7/31/2013,1,286654
Los-Angeles,8/31/2013,1,293500
Los-Angeles,9/30/2013,1,299674
Los-Angeles,10/31/2013,1,304513
Los-Angeles,11/30/2013,1,308340
Los-Angeles,12/31/2013,1,311110
Los-Angeles,1/31/2014,1,314143
Los-Angeles,2/28/2014,1,315229
Los-Angeles,3/31/2014,1,316143
Los-Angeles,4/30/2014,1,316300
Los-Angeles,5/31/2014,1,317058
Los-Angeles,6/30/2014,1,317553
Los-Angeles,7/31/2014,1,318814
Los-Angeles,8/31/2014,1,318487
Los-Angeles,9/30/2014,1,318611
Los-Angeles,10/31/2014,1,318850
Los-Angeles,11/30/2014,1,320923
Los-Angeles,12/31/2014,1,322927
Los-Angeles,1/31/2015,1,325591
Los-Angeles,2/28/2015,1,328348
Los-Angeles,3/31/2015,1,331288
Los-Angeles,4/30/2015,1,333100
Los-Angeles,5/31/2015,1,335196
Los-Angeles,6/30/2015,1,337189
Los-Angeles,7/31/2015,1,338911
Los-Angeles,8/31/2015,1,340923
Los-Angeles,9/30/2015,1,343009
Los-Angeles,10/31/2015,1,345676
Los-Angeles,11/30/2015,1,347526
Los-Angeles,12/31/2015,1,350616
Los-Angeles,1/31/2016,1,352415
Los-Angeles,2/29/2016,1,354927
Los-Angeles,3/31/2016,1,356333
Los-Angeles,4/30/2016,1,359251
Los-Angeles,5/31/2016,1,361511
Los-Angeles,6/30/2016,1,363791
Los-Angeles,7/31/2016,1,366024
Los-Angeles,8/31/2016,1,368949
Los-Angeles,9/30/2016,1,372215
Los-Angeles,10/31/2016,1,375167
Los-Angeles,11/30/2016,1,377356
Los-Angeles,12/31/2016,1,378662
Los-Angeles,1/31/2017,1,381205
Los-Angeles,2/28/2017,1,383216
Los-Angeles,3/31/2017,1,385729
Los-Angeles,4/30/2017,1,387197
Los-Angeles,5/31/2017,1,389877
Los-Angeles,6/30/2017,1,392665
Los-Angeles,7/31/2017,1,395575
Los-Angeles,8/31/2017,1,398039
Los-Angeles,9/30/2017,1,400476
Los-Angeles,10/31/2017,1,403003
Los-Angeles,11/30/2017,1,406937
Los-Angeles,12/31/2017,1,410932
Los-Angeles,1/31/2018,1,414194
Los-Angeles,2/28/2018,1,417292
Los-Angeles,3/31/2018,1,420761
Los-Angeles,4/30/2018,1,424577
Los-Angeles,5/31/2018,1,427794
Los-Angeles,6/30/2018,1,430782
Los-Angeles,7/31/2018,1,432573
Los-Angeles,8/31/2018,1,433351
Los-Angeles,9/30/2018,1,433267
Los-Angeles,10/31/2018,1,433793
Los-Angeles,11/30/2018,1,433991
Los-Angeles,12/31/2018,1,433270
Los-Angeles,1/31/2019,1,432436
Los-Angeles,2/28/2019,1,430587
Los-Angeles,3/31/2019,1,429065
Los-Angeles,4/30/2019,1,428522
Los-Angeles,5/31/2019,1,430554
Los-Angeles,6/30/2019,1,433172
Los-Angeles,7/31/2019,1,433907
Los-Angeles,8/31/2019,1,433678
Los-Angeles,9/30/2019,1,434167
Los-Angeles,10/31/2019,1,435577
Los-Angeles,11/30/2019,1,436401
Los-Angeles,12/31/2019,1,437584
Los-Angeles,1/31/2020,1,439588
Los-Angeles,2/29/2020,1,442656
Los-Angeles,3/31/2020,1,445408
Los-Angeles,4/30/2020,1,447605
Los-Angeles,5/31/2020,1,448072
Los-Angeles,6/30/2020,1,448387
Los-Angeles,7/31/2020,1,450949
Los-Angeles,8/31/2020,1,455102
Los-Angeles,9/30/2020,1,459371
Los-Angeles,10/31/2020,1,462895
Los-Angeles,1/31/1996,4,222498
Los-Angeles,2/29/1996,4,223005
Los-Angeles,3/31/1996,4,223056
Los-Angeles,4/30/1996,4,223266
Los-Angeles,5/31/1996,4,223249
Los-Angeles,6/30/1996,4,223313
Los-Angeles,7/31/1996,4,223500
Los-Angeles,8/31/1996,4,223536
Los-Angeles,9/30/1996,4,223538
Los-Angeles,10/31/1996,4,223632
Los-Angeles,11/30/1996,4,223763
Los-Angeles,12/31/1996,4,224173
Los-Angeles,1/31/1997,4,224143
Los-Angeles,2/28/1997,4,223695
Los-Angeles,3/31/1997,4,223590
Los-Angeles,4/30/1997,4,224090
Los-Angeles,5/31/1997,4,225115
Los-Angeles,6/30/1997,4,226036
Los-Angeles,7/31/1997,4,227023
Los-Angeles,8/31/1997,4,228285
Los-Angeles,9/30/1997,4,229735
Los-Angeles,10/31/1997,4,231066
Los-Angeles,11/30/1997,4,232448
Los-Angeles,12/31/1997,4,233796
Los-Angeles,1/31/1998,4,235912
Los-Angeles,2/28/1998,4,238531
Los-Angeles,3/31/1998,4,241012
Los-Angeles,4/30/1998,4,242994
Los-Angeles,5/31/1998,4,244839
Los-Angeles,6/30/1998,4,246734
Los-Angeles,7/31/1998,4,248471
Los-Angeles,8/31/1998,4,250661
Los-Angeles,9/30/1998,4,253039
Los-Angeles,10/31/1998,4,255598
Los-Angeles,11/30/1998,4,257981
Los-Angeles,12/31/1998,4,259960
Los-Angeles,1/31/1999,4,262162
Los-Angeles,2/28/1999,4,264100
Los-Angeles,3/31/1999,4,266256
Los-Angeles,4/30/1999,4,268164
Los-Angeles,5/31/1999,4,270045
Los-Angeles,6/30/1999,4,272459
Los-Angeles,7/31/1999,4,274933
Los-Angeles,8/31/1999,4,276613
Los-Angeles,9/30/1999,4,277940
Los-Angeles,10/31/1999,4,279529
Los-Angeles,11/30/1999,4,281895
Los-Angeles,12/31/1999,4,284441
Los-Angeles,1/31/2000,4,286536
Los-Angeles,2/29/2000,4,288702
Los-Angeles,3/31/2000,4,290995
Los-Angeles,4/30/2000,4,293761
Los-Angeles,5/31/2000,4,296531
Los-Angeles,6/30/2000,4,299192
Los-Angeles,7/31/2000,4,301794
Los-Angeles,8/31/2000,4,304650
Los-Angeles,9/30/2000,4,307483
Los-Angeles,10/31/2000,4,310274
Los-Angeles,11/30/2000,4,312861
Los-Angeles,12/31/2000,4,315623
Los-Angeles,1/31/2001,4,318296
Los-Angeles,2/28/2001,4,321168
Los-Angeles,3/31/2001,4,323891
Los-Angeles,4/30/2001,4,326895
Los-Angeles,5/31/2001,4,329604
Los-Angeles,6/30/2001,4,332142
Los-Angeles,7/31/2001,4,334392
Los-Angeles,8/31/2001,4,336809
Los-Angeles,9/30/2001,4,339526
Los-Angeles,10/31/2001,4,342556
Los-Angeles,11/30/2001,4,345390
Los-Angeles,12/31/2001,4,348442
Los-Angeles,1/31/2002,4,351629
Los-Angeles,2/28/2002,4,355199
Los-Angeles,3/31/2002,4,358962
Los-Angeles,4/30/2002,4,362987
Los-Angeles,5/31/2002,4,367120
Los-Angeles,6/30/2002,4,372061
Los-Angeles,7/31/2002,4,377777
Los-Angeles,8/31/2002,4,383829
Los-Angeles,9/30/2002,4,389633
Los-Angeles,10/31/2002,4,395482
Los-Angeles,11/30/2002,4,401907
Los-Angeles,12/31/2002,4,408405
Los-Angeles,1/31/2003,4,414274
Los-Angeles,2/28/2003,4,419482
Los-Angeles,3/31/2003,4,424541
Los-Angeles,4/30/2003,4,429659
Los-Angeles,5/31/2003,4,435187
Los-Angeles,6/30/2003,4,439905
Los-Angeles,7/31/2003,4,445840
Los-Angeles,8/31/2003,4,452733
Los-Angeles,9/30/2003,4,460996
Los-Angeles,10/31/2003,4,468602
Los-Angeles,11/30/2003,4,477235
Los-Angeles,12/31/2003,4,485464
Los-Angeles,1/31/2004,4,495293
Los-Angeles,2/29/2004,4,505578
Los-Angeles,3/31/2004,4,516814
Los-Angeles,4/30/2004,4,528725
Los-Angeles,5/31/2004,4,542021
Los-Angeles,6/30/2004,4,556073
Los-Angeles,7/31/2004,4,568017
Los-Angeles,8/31/2004,4,577607
Los-Angeles,9/30/2004,4,586251
Los-Angeles,10/31/2004,4,595205
Los-Angeles,11/30/2004,4,602797
Los-Angeles,12/31/2004,4,610793
Los-Angeles,1/31/2005,4,618362
Los-Angeles,2/28/2005,4,626902
Los-Angeles,3/31/2005,4,635712
Los-Angeles,4/30/2005,4,644038
Los-Angeles,5/31/2005,4,651230
Los-Angeles,6/30/2005,4,657658
Los-Angeles,7/31/2005,4,666649
Los-Angeles,8/31/2005,4,676356
Los-Angeles,9/30/2005,4,687301
Los-Angeles,10/31/2005,4,696944
Los-Angeles,11/30/2005,4,704876
Los-Angeles,12/31/2005,4,712622
Los-Angeles,1/31/2006,4,718673
Los-Angeles,2/28/2006,4,724323
Los-Angeles,3/31/2006,4,728403
Los-Angeles,4/30/2006,4,732489
Los-Angeles,5/31/2006,4,736694
Los-Angeles,6/30/2006,4,739678
Los-Angeles,7/31/2006,4,740057
Los-Angeles,8/31/2006,4,740891
Los-Angeles,9/30/2006,4,738764
Los-Angeles,10/31/2006,4,738083
Los-Angeles,11/30/2006,4,736032
Los-Angeles,12/31/2006,4,735205
Los-Angeles,1/31/2007,4,734479
Los-Angeles,2/28/2007,4,733417
Los-Angeles,3/31/2007,4,731427
Los-Angeles,4/30/2007,4,729023
Los-Angeles,5/31/2007,4,724923
Los-Angeles,6/30/2007,4,721154
Los-Angeles,7/31/2007,4,714435
Los-Angeles,8/31/2007,4,706154
Los-Angeles,9/30/2007,4,695548
Los-Angeles,10/31/2007,4,685567
Los-Angeles,11/30/2007,4,678449
Los-Angeles,12/31/2007,4,670304
Los-Angeles,1/31/2008,4,661551
Los-Angeles,2/29/2008,4,648806
Los-Angeles,3/31/2008,4,636674
Los-Angeles,4/30/2008,4,621882
Los-Angeles,5/31/2008,4,607758
Los-Angeles,6/30/2008,4,595087
Los-Angeles,7/31/2008,4,585166
Los-Angeles,8/31/2008,4,576828
Los-Angeles,9/30/2008,4,571069
Los-Angeles,10/31/2008,4,563948
Los-Angeles,11/30/2008,4,554468
Los-Angeles,12/31/2008,4,542486
Los-Angeles,1/31/2009,4,533761
Los-Angeles,2/28/2009,4,529988
Los-Angeles,3/31/2009,4,526645
Los-Angeles,4/30/2009,4,523635
Los-Angeles,5/31/2009,4,521138
Los-Angeles,6/30/2009,4,519469
Los-Angeles,7/31/2009,4,519331
Los-Angeles,8/31/2009,4,519763
Los-Angeles,9/30/2009,4,521068
Los-Angeles,10/31/2009,4,522976
Los-Angeles,11/30/2009,4,526896
Los-Angeles,12/31/2009,4,531999
Los-Angeles,1/31/2010,4,533837
Los-Angeles,2/28/2010,4,532598
Los-Angeles,3/31/2010,4,532550
Los-Angeles,4/30/2010,4,535464
Los-Angeles,5/31/2010,4,539767
Los-Angeles,6/30/2010,4,539277
Los-Angeles,7/31/2010,4,536196
Los-Angeles,8/31/2010,4,532053
Los-Angeles,9/30/2010,4,528828
Los-Angeles,10/31/2010,4,525539
Los-Angeles,11/30/2010,4,520848
Los-Angeles,12/31/2010,4,517604
Los-Angeles,1/31/2011,4,516163
Los-Angeles,2/28/2011,4,515776
Los-Angeles,3/31/2011,4,513694
Los-Angeles,4/30/2011,4,510208
Los-Angeles,5/31/2011,4,504217
Los-Angeles,6/30/2011,4,502340
Los-Angeles,7/31/2011,4,501249
Los-Angeles,8/31/2011,4,500363
Los-Angeles,9/30/2011,4,497344
Los-Angeles,10/31/2011,4,494559
Los-Angeles,11/30/2011,4,494142
Los-Angeles,12/31/2011,4,493370
Los-Angeles,1/31/2012,4,491782
Los-Angeles,2/29/2012,4,489796
Los-Angeles,3/31/2012,4,488986
Los-Angeles,4/30/2012,4,489202
Los-Angeles,5/31/2012,4,491509
Los-Angeles,6/30/2012,4,493598
Los-Angeles,7/31/2012,4,497162
Los-Angeles,8/31/2012,4,500824
Los-Angeles,9/30/2012,4,505561
Los-Angeles,10/31/2012,4,511492
Los-Angeles,11/30/2012,4,516358
Los-Angeles,12/31/2012,4,522611
Los-Angeles,1/31/2013,4,529370
Los-Angeles,2/28/2013,4,539540
Los-Angeles,3/31/2013,4,550525
Los-Angeles,4/30/2013,4,562224
Los-Angeles,5/31/2013,4,572543
Los-Angeles,6/30/2013,4,582416
Los-Angeles,7/31/2013,4,590789
Los-Angeles,8/31/2013,4,600257
Los-Angeles,9/30/2013,4,608744
Los-Angeles,10/31/2013,4,615245
Los-Angeles,11/30/2013,4,621235
Los-Angeles,12/31/2013,4,625703
Los-Angeles,1/31/2014,4,630494
Los-Angeles,2/28/2014,4,631318
Los-Angeles,3/31/2014,4,631033
Los-Angeles,4/30/2014,4,629964
Los-Angeles,5/31/2014,4,629817
Los-Angeles,6/30/2014,4,630047
Los-Angeles,7/31/2014,4,631243
Los-Angeles,8/31/2014,4,630894
Los-Angeles,9/30/2014,4,631560
Los-Angeles,10/31/2014,4,632517
Los-Angeles,11/30/2014,4,635668
Los-Angeles,12/31/2014,4,638130
Los-Angeles,1/31/2015,4,641532
Los-Angeles,2/28/2015,4,645825
Los-Angeles,3/31/2015,4,650509
Los-Angeles,4/30/2015,4,653472
Los-Angeles,5/31/2015,4,656082
Los-Angeles,6/30/2015,4,658832
Los-Angeles,7/31/2015,4,661848
Los-Angeles,8/31/2015,4,665339
Los-Angeles,9/30/2015,4,668918
Los-Angeles,10/31/2015,4,672952
Los-Angeles,11/30/2015,4,675351
Los-Angeles,12/31/2015,4,680155
Los-Angeles,1/31/2016,4,682401
Los-Angeles,2/29/2016,4,685654
Los-Angeles,3/31/2016,4,687079
Los-Angeles,4/30/2016,4,690808
Los-Angeles,5/31/2016,4,694495
Los-Angeles,6/30/2016,4,697412
Los-Angeles,7/31/2016,4,700382
Los-Angeles,8/31/2016,4,703996
Los-Angeles,9/30/2016,4,707522
Los-Angeles,10/31/2016,4,710771
Los-Angeles,11/30/2016,4,713488
Los-Angeles,12/31/2016,4,715098
Los-Angeles,1/31/2017,4,719208
Los-Angeles,2/28/2017,4,721912
Los-Angeles,3/31/2017,4,726076
Los-Angeles,4/30/2017,4,728298
Los-Angeles,5/31/2017,4,731990
Los-Angeles,6/30/2017,4,735843
Los-Angeles,7/31/2017,4,739223
Los-Angeles,8/31/2017,4,741933
Los-Angeles,9/30/2017,4,744945
Los-Angeles,10/31/2017,4,748092
Los-Angeles,11/30/2017,4,753483
Los-Angeles,12/31/2017,4,758921
Los-Angeles,1/31/2018,4,763198
Los-Angeles,2/28/2018,4,767292
Los-Angeles,3/31/2018,4,770983
Los-Angeles,4/30/2018,4,775551
Los-Angeles,5/31/2018,4,779091
Los-Angeles,6/30/2018,4,783025
Los-Angeles,7/31/2018,4,784542
Los-Angeles,8/31/2018,4,784295
Los-Angeles,1/31/1996,2,150756
Los-Angeles,2/29/1996,2,150842
Los-Angeles,3/31/1996,2,150776
Los-Angeles,4/30/1996,2,150706
Los-Angeles,5/31/1996,2,150577
Los-Angeles,6/30/1996,2,150479
Los-Angeles,7/31/1996,2,150453
Los-Angeles,8/31/1996,2,150273
Los-Angeles,9/30/1996,2,150065
Los-Angeles,10/31/1996,2,149816
Los-Angeles,11/30/1996,2,149648
Los-Angeles,12/31/1996,2,149535
Los-Angeles,1/31/1997,2,149049
Los-Angeles,2/28/1997,2,148424
Los-Angeles,3/31/1997,2,148007
Los-Angeles,4/30/1997,2,148046
Los-Angeles,5/31/1997,2,148269
Los-Angeles,6/30/1997,2,148510
Los-Angeles,7/31/1997,2,148868
Los-Angeles,8/31/1997,2,149506
