indicator_id,region_id,date,value
ZSFH,99998,2020-09-30,286923.0
ZSFH,99998,2020-08-31,286326.0
ZSFH,99998,2020-07-31,285611.0
ZSFH,99998,2020-06-30,296807.0
ZSFH,99998,2020-05-31,296376.0
ZSFH,99998,2020-04-30,296177.0
ZSFH,99998,2020-03-31,296303.0
ZSFH,99998,2020-02-29,295761.0
ZSFH,99998,2020-01-31,294973.0
ZSFH,99998,2019-12-31,294973.0
ZSFH,99998,2019-11-30,294870.0
ZSFH,99998,2019-10-31,295033.0
ZSFH,99998,2019-09-30,293962.0
ZSFH,99998,2019-08-31,293098.0
ZSFH,99998,2019-07-31,292017.0
ZSFH,99998,2019-06-30,291200.0
ZSFH,99998,2019-05-31,289961.0
ZSFH,99998,2019-04-30,288739.0
ZSFH,99998,2019-03-31,287170.0
ZSFH,99998,2019-02-28,287622.0
ZSFH,99998,2019-01-31,288329.0
ZSFH,99998,2018-12-31,288341.0
ZSFH,99998,2018-11-30,286754.0
ZSFH,99998,2018-10-31,284858.0
ZSFH,99998,2018-09-30,284232.0
ZSFH,99998,2018-08-31,283916.0
ZSFH,99998,2018-07-31,283814.0
ZSFH,99998,2018-06-30,284187.0
ZSFH,99998,2018-05-31,284017.0
ZSFH,99998,2018-04-30,283893.0
ZSFH,99998,2018-03-31,283276.0
ZSFH,99998,2018-02-28,280110.0
ZSFH,99998,2018-01-31,276778.0
ZSFH,99998,2017-12-31,272379.0
ZSFH,99998,2017-11-30,271403.0
ZSFH,99998,2017-10-31,270100.0
ZSFH,99998,2017-09-30,269394.0
ZSFH,99998,2017-08-31,267536.0
ZSFH,99998,2017-07-31,265890.0
ZSFH,99998,2017-06-30,263749.0
ZSFH,99998,2017-05-31,262353.0
ZSFH,99998,2017-04-30,260446.0
ZSFH,99998,2017-03-31,258538.0
ZSFH,99998,2017-02-28,258029.0
ZSFH,99998,2017-01-31,257741.0
ZSFH,99998,2016-12-31,258491.0
ZSFH,99998,2016-11-30,257049.0
ZSFH,99998,2016-10-31,255896.0
ZSFH,99998,2016-09-30,254011.0
ZSFH,99998,2016-08-31,252341.0
ZSFH,99998,2016-07-31,250402.0
ZSFH,99998,2016-06-30,247994.0
ZSFH,99998,2016-05-31,245299.0
ZSFH,99998,2016-04-30,242886.0
ZSFH,99998,2016-03-31,240954.0
ZSFH,99998,2016-02-29,238789.0
ZSFH,99998,2016-01-31,236299.0
ZSFH,99998,2015-12-31,233237.0
ZSFH,99998,2015-11-30,230435.0
ZSFH,99998,2015-10-31,227607.0
ZSFH,99998,2015-09-30,225450.0
ZSFH,99998,2015-08-31,223444.0
ZSFH,99998,2015-07-31,221072.0
ZSFH,99998,2015-06-30,219120.0
ZSFH,99998,2015-05-31,217384.0
ZSFH,99998,2015-04-30,215823.0
ZSFH,99998,2015-03-31,213455.0
ZSFH,99998,2015-02-28,210922.0
ZSFH,99998,2015-01-31,208709.0
ZSFH,99998,2014-12-31,207113.0
ZSFH,99998,2014-11-30,205759.0
ZSFH,99998,2014-10-31,204408.0
ZSFH,99998,2014-09-30,202649.0
ZSFH,99998,2014-08-31,200978.0
ZSFH,99998,2014-07-31,199749.0
ZSFH,99998,2014-06-30,198669.0
ZSFH,99998,2014-05-31,197629.0
ZSFH,99998,2014-04-30,196223.0
ZSFH,99998,2014-03-31,195061.0
ZSFH,99998,2014-02-28,193916.0
ZSFH,99998,2014-01-31,193107.0
ZSFH,99998,2013-12-31,192500.0
ZSFH,99998,2013-11-30,191851.0
ZSFH,99998,2013-10-31,190949.0
ZSFH,99998,2013-09-30,189786.0
ZSFH,99998,2013-08-31,188537.0
ZSFH,99998,2013-07-31,187168.0
ZSFH,99998,2013-06-30,185870.0
ZSFH,99998,2013-05-31,184359.0
ZSFH,99998,2013-04-30,183103.0
ZSFH,99998,2013-03-31,182037.0
ZSFH,99998,2013-02-28,182261.0
ZSFH,99998,2013-01-31,182464.0
ZSFH,99998,2012-12-31,182206.0
ZSFH,99998,2012-11-30,180958.0
ZSFH,99998,2012-10-31,179883.0
ZSFH,99998,2012-09-30,179325.0
ZSFH,99998,2012-08-31,178680.0
ZSFH,99998,2012-07-31,178213.0
ZSFH,99998,2012-06-30,177508.0
ZSFH,99998,2012-05-31,177308.0
ZSFH,99998,2012-04-30,176893.0
ZSFH,99998,2012-03-31,176792.0
ZSFH,99998,2012-02-29,175188.0
ZSFH,99998,2012-01-31,173285.0
ZSFH,99998,2011-12-31,171072.0
ZSFH,99998,2011-11-30,170370.0
ZSFH,99998,2011-10-31,170098.0
ZSFH,99998,2011-09-30,170418.0
ZSFH,99998,2011-08-31,170858.0
ZSFH,99998,2011-07-31,171490.0
ZSFH,99998,2011-06-30,171910.0
ZSFH,99998,2011-05-31,172304.0
ZSFH,99998,2011-04-30,173253.0
ZSFH,99998,2011-03-31,174029.0
ZSFH,99998,2011-02-28,174775.0
ZSFH,99998,2011-01-31,175207.0
ZSFH,99998,2010-12-31,175804.0
ZSFH,99998,2010-11-30,176256.0
ZSFH,99998,2010-10-31,176545.0
ZSFH,99998,2010-09-30,176314.0
ZSFH,99998,2010-08-31,176572.0
ZSFH,99998,2010-07-31,176107.0
ZSFH,99998,2010-06-30,176118.0
ZSFH,99998,2010-05-31,175597.0
ZSFH,99998,2010-04-30,174810.0
ZSFH,99998,2010-03-31,174451.0
ZSFH,99998,2010-02-28,175141.0
ZSFH,99998,2010-01-31,176360.0
ZSFH,99998,2009-12-31,177873.0
ZSFH,99998,2009-11-30,178284.0
ZSFH,99998,2009-10-31,178838.0
ZSFH,99998,2009-09-30,179853.0
ZSFH,99998,2009-08-31,180602.0
ZSFH,99998,2009-07-31,182308.0
ZSFH,99998,2009-06-30,183755.0
ZSFH,99998,2009-05-31,185204.0
ZSFH,99998,2009-04-30,186994.0
ZSFH,99998,2009-03-31,187522.0
ZSFH,99998,2009-02-28,188250.0
ZSFH,99998,2009-01-31,188612.0
ZSFH,99998,2008-12-31,189779.0
ZSFH,99998,2008-11-30,191628.0
ZSFH,99998,2008-10-31,193158.0
ZSFH,99998,2008-09-30,192929.0
ZSFH,99998,2008-08-31,192752.0
ZSFH,99998,2008-07-31,192306.0
ZSFH,99998,2008-06-30,192355.0
ZSFH,99998,2008-05-31,193154.0
ZSFH,99998,2008-04-30,193273.0
ZSFH,99998,2008-03-31,194189.0
ZSFH,99998,2008-02-29,193707.0
ZSFH,99998,2008-01-31,193852.0
ZSFH,99998,2007-12-31,193742.0
ZSFH,99998,2007-11-30,193625.0
ZSFH,99998,2007-10-31,193201.0
ZSFH,99998,2007-09-30,193523.0
ZSFH,99998,2007-08-31,193830.0
ZSFH,99998,2007-07-31,194348.0
ZSFH,99998,2007-06-30,193906.0
ZSFH,99998,2007-05-31,193119.0
ZSFH,99998,2007-04-30,191318.0
ZSFH,99998,2007-03-31,189874.0
ZSFH,99998,2007-02-28,188522.0
ZSFH,99998,2007-01-31,187431.0
ZSFH,99998,2006-12-31,185582.0
ZSFH,99998,2006-11-30,183277.0
ZSFH,99998,2006-10-31,180541.0
